date,FA893065005.Q,FA893065105.Q,FA893065405.Q,FA893065505.Q,FA893065603.Q,FA893065005.Q,FA153165005.Q,FA143165005.Q,FA103165005.Q,FA113165005.Q,FA313165403.Q,FA643165005.Q,FA893065005.Q,FA153065005.Q,FA103065003.Q,FA113065005.Q,FA313065005.Q,FA213065005.Q,FA763065005.Q,FA753065005.Q,FA743065003.Q,FA473065100.Q,FA513065503.Q,FA543065005.Q,FA573065005.Q,FA223065043.Q,FA403065005.Q,FA413065005.Q,FA673065005.Q,FA613065000.Q,FA643065005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6179.00,4394.00,348.00,1300.00,137.00,6179.00,4492.00,1687.00,795.00,892.00,0.00,0.00,6179.00,1522.00,5.00,0.00,-346.00,25.00,4347.00,0.00,13.00,41.00,5.00,519.00,22.00,3.00,-76.00,0.00,0.00,99.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7166.00,5167.00,517.00,1315.00,167.00,7166.00,5259.00,1907.00,1177.00,730.00,0.00,0.00,7166.00,1359.00,6.00,0.00,-93.00,25.00,4243.00,0.00,17.00,68.00,8.00,1520.00,20.00,4.00,-72.00,0.00,0.00,61.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,7370.00,5155.00,875.00,1116.00,224.00,7370.00,5370.00,2000.00,1025.00,975.00,0.00,0.00,7370.00,1198.00,14.00,0.00,46.00,54.00,3768.00,0.00,40.00,77.00,7.00,2158.00,20.00,10.00,-15.00,4.00,0.00,-11.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6459.00,4332.00,1167.00,669.00,291.00,6459.00,4577.00,1882.00,646.00,1236.00,0.00,0.00,6459.00,725.00,-6.00,0.00,465.00,81.00,2904.00,0.00,9.00,43.00,17.00,2073.00,20.00,17.00,33.00,3.00,0.00,75.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,10179.00,7594.00,1472.00,621.00,492.00,10179.00,7894.00,2285.00,453.00,1832.00,0.00,0.00,10179.00,696.00,-1.00,0.00,317.00,52.00,5549.00,0.00,21.00,57.00,11.00,3196.00,20.00,23.00,47.00,25.00,0.00,166.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,9367.00,6444.00,1341.00,1002.00,580.00,9367.00,6747.00,2620.00,595.00,2025.00,0.00,0.00,9367.00,934.00,3.00,0.00,530.00,69.00,4555.00,0.00,28.00,3.00,14.00,3212.00,18.00,30.00,58.00,11.00,0.00,-98.00,0.00
1952:Q1,8848.00,6584.00,712.00,900.00,652.00,8848.00,6784.00,2064.00,624.00,1440.00,0.00,0.00,8848.00,900.00,4.00,0.00,1384.00,112.00,3704.00,0.00,12.00,-192.00,8.00,2300.00,24.00,32.00,72.00,8.00,0.00,480.00,0.00
1952:Q2,8936.00,6384.00,868.00,856.00,828.00,8936.00,6688.00,2248.00,-504.00,2752.00,0.00,0.00,8936.00,692.00,4.00,0.00,144.00,100.00,5672.00,0.00,4.00,188.00,4.00,1840.00,28.00,36.00,72.00,8.00,0.00,144.00,0.00
1952:Q3,9012.00,6672.00,952.00,936.00,452.00,9012.00,6976.00,2036.00,-40.00,2076.00,0.00,0.00,9012.00,396.00,4.00,0.00,264.00,104.00,6160.00,0.00,4.00,-176.00,4.00,1852.00,32.00,36.00,88.00,12.00,0.00,232.00,0.00
1952:Q4,9312.00,7136.00,824.00,944.00,408.00,9312.00,7396.00,1916.00,852.00,1064.00,0.00,0.00,9312.00,676.00,4.00,0.00,728.00,96.00,5640.00,0.00,0.00,120.00,4.00,1756.00,32.00,40.00,92.00,12.00,0.00,112.00,0.00
1953:Q1,9624.00,7508.00,424.00,1052.00,640.00,9624.00,7816.00,1808.00,1168.00,640.00,0.00,0.00,9624.00,2092.00,4.00,0.00,740.00,84.00,4996.00,0.00,4.00,20.00,8.00,1960.00,40.00,44.00,92.00,8.00,0.00,-468.00,0.00
1953:Q2,10952.00,8356.00,716.00,1116.00,764.00,10952.00,8652.00,2300.00,-240.00,2540.00,0.00,0.00,10952.00,744.00,4.00,0.00,596.00,84.00,6880.00,0.00,8.00,132.00,16.00,2048.00,44.00,44.00,88.00,4.00,0.00,260.00,0.00
1953:Q3,9272.00,7188.00,672.00,1092.00,320.00,9272.00,7440.00,1832.00,260.00,1572.00,0.00,0.00,9272.00,48.00,0.00,0.00,352.00,80.00,6348.00,0.00,4.00,-168.00,20.00,1932.00,44.00,48.00,88.00,8.00,0.00,468.00,0.00
1953:Q4,9452.00,7016.00,748.00,1408.00,280.00,9452.00,7344.00,2108.00,1520.00,588.00,0.00,0.00,9452.00,1100.00,0.00,0.00,-128.00,84.00,6008.00,0.00,0.00,-12.00,20.00,2344.00,44.00,52.00,88.00,8.00,0.00,-156.00,0.00
1954:Q1,9028.00,6836.00,212.00,1264.00,716.00,9028.00,7204.00,1824.00,1108.00,716.00,0.00,0.00,9028.00,1592.00,0.00,0.00,-272.00,88.00,5368.00,0.00,0.00,-88.00,16.00,1980.00,44.00,56.00,124.00,4.00,0.00,116.00,0.00
1954:Q2,13908.00,10780.00,552.00,1776.00,800.00,13908.00,11172.00,2736.00,-532.00,3268.00,0.00,0.00,13908.00,1020.00,0.00,0.00,2176.00,96.00,7412.00,0.00,0.00,380.00,8.00,2460.00,40.00,60.00,124.00,4.00,0.00,128.00,0.00
1954:Q3,10300.00,7624.00,560.00,1832.00,284.00,10300.00,7924.00,2376.00,-276.00,2652.00,0.00,0.00,10300.00,632.00,0.00,0.00,-1932.00,92.00,8476.00,0.00,0.00,-164.00,0.00,2604.00,44.00,64.00,80.00,32.00,0.00,372.00,0.00
1954:Q4,15384.00,12172.00,852.00,2124.00,236.00,15384.00,12232.00,3152.00,1680.00,1472.00,0.00,0.00,15384.00,1308.00,4.00,0.00,436.00,84.00,9516.00,0.00,8.00,-32.00,-8.00,3572.00,56.00,64.00,76.00,32.00,0.00,268.00,0.00
1955:Q1,15956.00,12776.00,468.00,1808.00,904.00,15956.00,12892.00,3064.00,1196.00,1868.00,0.00,0.00,15956.00,2276.00,12.00,0.00,128.00,68.00,9056.00,0.00,28.00,396.00,4.00,3168.00,68.00,68.00,252.00,32.00,0.00,400.00,0.00
1955:Q2,17116.00,13356.00,828.00,1992.00,940.00,17116.00,12772.00,4344.00,772.00,3572.00,0.00,0.00,17116.00,912.00,16.00,0.00,376.00,56.00,11404.00,0.00,44.00,152.00,8.00,3000.00,76.00,68.00,292.00,36.00,0.00,676.00,0.00
1955:Q3,16100.00,12480.00,760.00,2224.00,636.00,16100.00,12348.00,3752.00,908.00,2844.00,0.00,0.00,16100.00,332.00,16.00,0.00,84.00,52.00,11152.00,0.00,44.00,-72.00,12.00,3036.00,88.00,72.00,264.00,40.00,0.00,980.00,0.00
1955:Q4,15800.00,11708.00,1244.00,2224.00,624.00,15800.00,11324.00,4476.00,3360.00,1116.00,0.00,0.00,15800.00,1688.00,12.00,0.00,200.00,60.00,8464.00,0.00,36.00,-8.00,12.00,4672.00,100.00,68.00,400.00,44.00,0.00,52.00,0.00
1956:Q1,15096.00,11036.00,668.00,2316.00,1076.00,15096.00,12124.00,2972.00,932.00,2040.00,0.00,0.00,15096.00,2740.00,8.00,0.00,12.00,64.00,7984.00,0.00,24.00,-8.00,16.00,3804.00,112.00,72.00,564.00,44.00,0.00,-340.00,0.00
1956:Q2,15772.00,11388.00,680.00,2512.00,1192.00,15772.00,11912.00,3860.00,412.00,3448.00,0.00,0.00,15772.00,1652.00,4.00,0.00,36.00,56.00,9104.00,0.00,16.00,508.00,12.00,3584.00,128.00,64.00,592.00,44.00,0.00,-28.00,0.00
1956:Q3,14136.00,10408.00,580.00,2468.00,680.00,14136.00,11280.00,2856.00,332.00,2524.00,0.00,0.00,14136.00,532.00,4.00,0.00,-12.00,76.00,9232.00,0.00,12.00,-208.00,8.00,3280.00,136.00,76.00,676.00,20.00,0.00,304.00,0.00
1956:Q4,13492.00,10404.00,368.00,2416.00,304.00,13492.00,10700.00,2792.00,2048.00,744.00,0.00,0.00,13492.00,1484.00,12.00,0.00,52.00,124.00,7008.00,0.00,20.00,-16.00,0.00,3508.00,136.00,96.00,1396.00,24.00,0.00,-352.00,0.00
1957:Q1,12888.00,9940.00,84.00,2072.00,792.00,12888.00,10008.00,2880.00,2008.00,872.00,0.00,0.00,12888.00,3132.00,16.00,0.00,204.00,164.00,5028.00,0.00,20.00,344.00,0.00,2760.00,132.00,120.00,1780.00,32.00,0.00,-844.00,0.00
1957:Q2,11252.00,8180.00,388.00,1892.00,792.00,11252.00,8360.00,2892.00,276.00,2616.00,0.00,0.00,11252.00,1552.00,20.00,0.00,168.00,208.00,6164.00,0.00,20.00,32.00,0.00,2008.00,128.00,140.00,1128.00,36.00,0.00,-352.00,0.00
1957:Q3,12332.00,8340.00,788.00,2736.00,468.00,12332.00,9140.00,3000.00,432.00,2568.00,192.00,0.00,12332.00,1292.00,20.00,0.00,304.00,228.00,7360.00,0.00,20.00,-144.00,0.00,2056.00,132.00,156.00,884.00,16.00,0.00,8.00,0.00
1957:Q4,12304.00,8056.00,928.00,3124.00,196.00,12304.00,8588.00,3524.00,2524.00,1000.00,192.00,0.00,12304.00,1848.00,16.00,0.00,448.00,208.00,6768.00,0.00,20.00,-236.00,0.00,2164.00,144.00,164.00,860.00,12.00,0.00,-112.00,0.00
1958:Q1,12476.00,8100.00,1656.00,2212.00,508.00,12476.00,9392.00,2580.00,1096.00,1484.00,504.00,0.00,12476.00,2956.00,16.00,0.00,272.00,208.00,5600.00,0.00,40.00,304.00,0.00,1828.00,144.00,176.00,468.00,8.00,0.00,456.00,0.00
1958:Q2,13564.00,7940.00,1968.00,2736.00,920.00,13564.00,9060.00,4004.00,892.00,3112.00,500.00,0.00,13564.00,2740.00,16.00,0.00,228.00,204.00,9484.00,0.00,52.00,-144.00,0.00,1344.00,144.00,188.00,-1156.00,8.00,0.00,456.00,0.00
1958:Q3,16056.00,10400.00,2012.00,2832.00,812.00,16056.00,10692.00,4996.00,1104.00,3892.00,368.00,0.00,16056.00,1696.00,16.00,0.00,212.00,212.00,11304.00,0.00,52.00,132.00,0.00,1636.00,160.00,200.00,-44.00,24.00,0.00,456.00,0.00
1958:Q4,19632.00,12772.00,2180.00,4072.00,608.00,19632.00,12540.00,6720.00,3896.00,2824.00,372.00,0.00,19632.00,3024.00,12.00,0.00,928.00,224.00,11820.00,0.00,28.00,-184.00,-4.00,2496.00,188.00,220.00,392.00,28.00,0.00,460.00,0.00
1959:Q1,18452.00,12980.00,2268.00,2212.00,992.00,18452.00,13956.00,4300.00,144.00,4156.00,196.00,0.00,18452.00,3104.00,-52.00,0.00,1696.00,244.00,9840.00,0.00,8.00,424.00,0.00,1596.00,216.00,224.00,676.00,20.00,0.00,456.00,0.00
1959:Q2,19832.00,12880.00,2188.00,3216.00,1548.00,19832.00,13528.00,6100.00,164.00,5936.00,204.00,0.00,19832.00,2108.00,-48.00,0.00,1696.00,268.00,13204.00,0.00,-8.00,24.00,-8.00,1552.00,240.00,220.00,788.00,24.00,0.00,-228.00,0.00
1959:Q3,19724.00,13692.00,2132.00,3084.00,816.00,19724.00,14100.00,5196.00,52.00,5144.00,428.00,0.00,19724.00,1076.00,-164.00,0.00,1192.00,264.00,12972.00,0.00,-12.00,196.00,-12.00,2256.00,260.00,256.00,1012.00,4.00,0.00,424.00,0.00
1959:Q4,18932.00,12588.00,1952.00,3780.00,612.00,18932.00,12552.00,5948.00,3208.00,2740.00,432.00,0.00,18932.00,2088.00,0.00,0.00,496.00,244.00,10940.00,0.00,-12.00,-112.00,-36.00,3136.00,272.00,324.00,1252.00,4.00,0.00,336.00,0.00
